CODMES,ID,SECTOR_ECONÓMICO
201801,415536,Otros
201803,415536,Otros
201802,415536,Otros
201805,415536,Otros
201804,415536,Otros
201808,415536,Otros
201809,415536,Otros
201807,415536,Otros
201806,415536,Otros
201812,415536,Otros
201811,415536,Otros
201810,415536,Otros
201806,422754,Act. Inmob. Emp y Alquiler
201807,422754,Act. Inmob. Emp y Alquiler
201809,422754,Act. Inmob. Emp y Alquiler
201808,422754,Act. Inmob. Emp y Alquiler
201804,422754,Act. Inmob. Emp y Alquiler
201805,422754,Act. Inmob. Emp y Alquiler
201802,422754,Act. Inmob. Emp y Alquiler
201803,422754,Act. Inmob. Emp y Alquiler
201801,422754,Act. Inmob. Emp y Alquiler
201810,422754,Act. Inmob. Emp y Alquiler
201811,422754,Act. Inmob. Emp y Alquiler
201812,422754,Act. Inmob. Emp y Alquiler
201808,431808,"Transp, Almac y Com."
201809,431808,"Transp, Almac y Com."
201812,431808,"Transp, Almac y Com."
201811,431808,"Transp, Almac y Com."
201810,431808,"Transp, Almac y Com."
201809,435690,Ind. Manufacturera
201808,435690,Ind. Manufacturera
201807,435690,Ind. Manufacturera
201806,435690,Ind. Manufacturera
201803,435690,Ind. Manufacturera
201802,435690,Ind. Manufacturera
201805,435690,Ind. Manufacturera
201804,435690,Ind. Manufacturera
201801,435690,Ind. Manufacturera
201810,435690,Ind. Manufacturera
201811,435690,Ind. Manufacturera
201812,435690,Ind. Manufacturera
201801,435750,Ind. Manufacturera
201804,435750,Ind. Manufacturera
201805,435750,Ind. Manufacturera
201802,435750,Ind. Manufacturera
201803,435750,Ind. Manufacturera
201806,435750,Ind. Manufacturera
201807,435750,Ind. Manufacturera
201808,435750,Ind. Manufacturera
201809,435750,Ind. Manufacturera
201812,435750,Ind. Manufacturera
201811,435750,Ind. Manufacturera
201810,435750,Ind. Manufacturera
201809,438004,Ind. Manufacturera
201808,438004,Ind. Manufacturera
201807,438004,Ind. Manufacturera
201806,438004,Ind. Manufacturera
201803,438004,Ind. Manufacturera
201802,438004,Ind. Manufacturera
201805,438004,Ind. Manufacturera
201804,438004,Ind. Manufacturera
201801,438004,Ind. Manufacturera
201810,438004,Ind. Manufacturera
201811,438004,Ind. Manufacturera
201812,438004,Ind. Manufacturera
201801,440180,Comercio
201804,440180,Comercio
201802,440180,Comercio
201803,440180,Comercio
201803,440428,Ind. Manufacturera
201802,440428,Ind. Manufacturera
201805,440428,Ind. Manufacturera
201806,440428,Ind. Manufacturera
201807,440428,Ind. Manufacturera
201808,440428,Ind. Manufacturera
201809,440428,Ind. Manufacturera
201801,440428,Ind. Manufacturera
201812,440428,Ind. Manufacturera
201811,440428,Ind. Manufacturera
201810,440428,Ind. Manufacturera
201801,441622,"Transp, Almac y Com."
201809,441622,"Transp, Almac y Com."
201808,441622,"Transp, Almac y Com."
201807,441622,"Transp, Almac y Com."
201806,441622,"Transp, Almac y Com."
201805,441622,"Transp, Almac y Com."
201804,441622,"Transp, Almac y Com."
201802,441622,"Transp, Almac y Com."
201803,441622,"Transp, Almac y Com."
201810,441622,"Transp, Almac y Com."
201811,441622,"Transp, Almac y Com."
201812,441622,"Transp, Almac y Com."
201803,453852,Comercio
201802,453852,Comercio
201804,453852,Comercio
201805,453852,Comercio
201806,453852,Comercio
201807,453852,Comercio
201808,453852,Comercio
201809,453852,Comercio
201801,453852,Comercio
201812,453852,Comercio
201811,453852,Comercio
201810,453852,Comercio
201801,458638,Comercio
201809,458638,Comercio
201808,458638,Comercio
201807,458638,Comercio
201806,458638,Comercio
201805,458638,Comercio
201804,458638,Comercio
201802,458638,Comercio
201803,458638,Comercio
201810,458638,Comercio
201811,458638,Comercio
201812,458638,Comercio
201803,459924,Comercio
201802,459924,Comercio
201804,459924,Comercio
201805,459924,Comercio
201806,459924,Comercio
201807,459924,Comercio
201808,459924,Comercio
201809,459924,Comercio
201801,459924,Comercio
201812,459924,Comercio
201811,459924,Comercio
201810,459924,Comercio
201801,459946,Comercio
201809,459946,Comercio
201808,459946,Comercio
201807,459946,Comercio
201806,459946,Comercio
201805,459946,Comercio
201804,459946,Comercio
201802,459946,Comercio
201803,459946,Comercio
201810,459946,Comercio
201811,459946,Comercio
201812,459946,Comercio
201803,466558,Comercio
201802,466558,Comercio
201804,466558,Comercio
201805,466558,Comercio
201806,466558,Comercio
201807,466558,Comercio
201808,466558,Comercio
201809,466558,Comercio
201801,466558,Comercio
201812,466558,Comercio
201811,466558,Comercio
201810,466558,Comercio
201801,466590,Ind. Manufacturera
201809,466590,Ind. Manufacturera
201808,466590,Ind. Manufacturera
201807,466590,Ind. Manufacturera
201806,466590,Ind. Manufacturera
201805,466590,Ind. Manufacturera
201804,466590,Ind. Manufacturera
201802,466590,Ind. Manufacturera
201803,466590,Ind. Manufacturera
201810,466590,Ind. Manufacturera
201811,466590,Ind. Manufacturera
201812,466590,Ind. Manufacturera
201803,469710,Ind. Manufacturera
201802,469710,Ind. Manufacturera
201804,469710,Ind. Manufacturera
201805,469710,Ind. Manufacturera
201806,469710,Ind. Manufacturera
201807,469710,Ind. Manufacturera
201808,469710,Ind. Manufacturera
201809,469710,Ind. Manufacturera
201801,469710,Ind. Manufacturera
201812,469710,Ind. Manufacturera
201811,469710,Ind. Manufacturera
201810,469710,Ind. Manufacturera
201810,470450,Act. Inmob. Emp y Alquiler
201811,470450,Act. Inmob. Emp y Alquiler
201812,470450,Act. Inmob. Emp y Alquiler
201801,471038,Ind. Manufacturera
201809,471038,Ind. Manufacturera
201808,471038,Ind. Manufacturera
201807,471038,Ind. Manufacturera
201806,471038,Ind. Manufacturera
201805,471038,Ind. Manufacturera
201804,471038,Ind. Manufacturera
201802,471038,Ind. Manufacturera
201803,471038,Ind. Manufacturera
201812,471038,Ind. Manufacturera
201811,471038,Ind. Manufacturera
201810,471038,Ind. Manufacturera
201803,471304,Act. Inmob. Emp y Alquiler
201802,471304,Act. Inmob. Emp y Alquiler
201804,471304,Act. Inmob. Emp y Alquiler
201805,471304,Act. Inmob. Emp y Alquiler
201806,471304,Act. Inmob. Emp y Alquiler
201807,471304,Act. Inmob. Emp y Alquiler
201808,471304,Act. Inmob. Emp y Alquiler
201809,471304,Act. Inmob. Emp y Alquiler
201801,471304,Act. Inmob. Emp y Alquiler
201810,471304,Act. Inmob. Emp y Alquiler
201811,471304,Act. Inmob. Emp y Alquiler
201812,471304,Act. Inmob. Emp y Alquiler
201801,483948,Ind. Manufacturera
201809,483948,Ind. Manufacturera
201808,483948,Ind. Manufacturera
201807,483948,Ind. Manufacturera
201806,483948,Ind. Manufacturera
201805,483948,Ind. Manufacturera
201804,483948,Ind. Manufacturera
201802,483948,Ind. Manufacturera
201803,483948,Ind. Manufacturera
201812,483948,Ind. Manufacturera
201811,483948,Ind. Manufacturera
201810,483948,Ind. Manufacturera
201803,490782,Otros
201802,490782,Otros
201804,490782,Otros
201805,490782,Otros
201806,490782,Otros
201807,490782,Otros
201808,490782,Otros
201809,490782,Otros
201801,490782,Otros
201810,490782,Otros
201801,500962,Otros
201806,500962,Otros
201805,500962,Otros
201804,500962,Otros
201802,500962,Otros
201803,500962,Otros
201803,506968,Comercio
201802,506968,Comercio
201804,506968,Comercio
201805,506968,Comercio
201806,506968,Comercio
201807,506968,Comercio
201809,506968,Comercio
201808,506968,Comercio
201801,506968,Comercio
201810,506968,Comercio
201811,506968,Comercio
201812,506968,Comercio
201801,523072,Otros
201808,523072,Otros
201809,523072,Otros
201807,523072,Otros
201806,523072,Otros
201805,523072,Otros
201804,523072,Otros
201802,523072,Otros
201803,523072,Otros
201812,523072,Otros
201811,523072,Otros
201810,523072,Otros
201803,526728,Comercio
201802,526728,Comercio
201804,526728,Comercio
201805,526728,Comercio
201806,526728,Comercio
201807,526728,Comercio
201809,526728,Comercio
201808,526728,Comercio
201801,526728,Comercio
201810,526728,Comercio
201811,526728,Comercio
201812,526728,Comercio
201801,530418,Act. Inmob. Emp y Alquiler
201808,530418,Act. Inmob. Emp y Alquiler
201809,530418,Act. Inmob. Emp y Alquiler
201807,530418,Act. Inmob. Emp y Alquiler
201806,530418,Act. Inmob. Emp y Alquiler
201805,530418,Act. Inmob. Emp y Alquiler
201804,530418,Act. Inmob. Emp y Alquiler
201802,530418,Act. Inmob. Emp y Alquiler
201803,530418,Act. Inmob. Emp y Alquiler
201812,530418,Act. Inmob. Emp y Alquiler
201811,530418,Act. Inmob. Emp y Alquiler
201810,530418,Act. Inmob. Emp y Alquiler
201803,533150,Otros
201802,533150,Otros
201804,533150,Otros
201805,533150,Otros
201806,533150,Otros
201807,533150,Otros
201809,533150,Otros
201808,533150,Otros
201801,533150,Otros
201812,533150,Otros
201810,533150,Otros
201811,533150,Otros
201801,536654,Comercio
201808,536654,Comercio
201809,536654,Comercio
201807,536654,Comercio
201806,536654,Comercio
201805,536654,Comercio
201804,536654,Comercio
201802,536654,Comercio
201803,536654,Comercio
201811,536654,Comercio
201810,536654,Comercio
201812,536654,Comercio
201802,536732,Otros
201801,536732,Otros
201801,537220,Otros
201802,537220,Otros
201803,537220,Otros
201804,537220,Otros
201805,537220,Otros
201806,537220,Otros
201807,537220,Otros
201809,537220,Otros
201808,537220,Otros
201812,537220,Otros
201810,537220,Otros
201811,537220,Otros
201808,538050,"Transp, Almac y Com."
201809,538050,"Transp, Almac y Com."
201807,538050,"Transp, Almac y Com."
201806,538050,"Transp, Almac y Com."
201805,538050,"Transp, Almac y Com."
201804,538050,"Transp, Almac y Com."
201803,538050,"Transp, Almac y Com."
201802,538050,"Transp, Almac y Com."
201801,538050,"Transp, Almac y Com."
201811,538050,"Transp, Almac y Com."
201810,538050,"Transp, Almac y Com."
201812,538050,"Transp, Almac y Com."
201801,542306,Ind. Manufacturera
201802,542306,Ind. Manufacturera
201803,542306,Ind. Manufacturera
201804,542306,Ind. Manufacturera
201805,542306,Ind. Manufacturera
201806,542306,Ind. Manufacturera
201807,542306,Ind. Manufacturera
201809,542306,Ind. Manufacturera
201808,542306,Ind. Manufacturera
201812,542306,Ind. Manufacturera
201810,542306,Ind. Manufacturera
201811,542306,Ind. Manufacturera
201808,543552,Comercio
201809,543552,Comercio
201807,543552,Comercio
201806,543552,Comercio
201805,543552,Comercio
201804,543552,Comercio
201803,543552,Comercio
201802,543552,Comercio
201801,543552,Comercio
201811,543552,Comercio
201810,543552,Comercio
201812,543552,Comercio
201801,544830,Comercio
201809,544830,Comercio
201808,544830,Comercio
201812,544830,Comercio
201810,544830,Comercio
201811,544830,Comercio
201808,545876,Otros
201809,545876,Otros
201806,545876,Otros
201807,545876,Otros
201802,545876,Otros
201803,545876,Otros
201804,545876,Otros
201805,545876,Otros
201801,545876,Otros
201811,545876,Otros
201810,545876,Otros
201812,545876,Otros
201801,547570,Act. Inmob. Emp y Alquiler
201802,547570,Act. Inmob. Emp y Alquiler
201807,547570,Act. Inmob. Emp y Alquiler
201806,547570,Act. Inmob. Emp y Alquiler
201809,547570,Act. Inmob. Emp y Alquiler
201808,547570,Act. Inmob. Emp y Alquiler
201812,547570,Act. Inmob. Emp y Alquiler
201810,547570,Act. Inmob. Emp y Alquiler
201811,547570,Act. Inmob. Emp y Alquiler
201808,548688,Comercio
201809,548688,Comercio
201806,548688,Comercio
201807,548688,Comercio
201802,548688,Comercio
201803,548688,Comercio
201805,548688,Comercio
201804,548688,Comercio
201801,548688,Comercio
201811,548688,Comercio
201810,548688,Comercio
201812,548688,Comercio
201801,550796,Ind. Manufacturera
201804,550796,Ind. Manufacturera
201805,550796,Ind. Manufacturera
201803,550796,Ind. Manufacturera
201802,550796,Ind. Manufacturera
201807,550796,Ind. Manufacturera
201806,550796,Ind. Manufacturera
201809,550796,Ind. Manufacturera
201808,550796,Ind. Manufacturera
201812,550796,Ind. Manufacturera
201810,550796,Ind. Manufacturera
201811,550796,Ind. Manufacturera
201801,553072,Act. Inmob. Emp y Alquiler
201808,553072,Act. Inmob. Emp y Alquiler
201809,553072,Act. Inmob. Emp y Alquiler
201806,553072,Act. Inmob. Emp y Alquiler
201807,553072,Act. Inmob. Emp y Alquiler
201802,553072,Act. Inmob. Emp y Alquiler
201803,553072,Act. Inmob. Emp y Alquiler
201805,553072,Act. Inmob. Emp y Alquiler
201804,553072,Act. Inmob. Emp y Alquiler
201811,553072,Act. Inmob. Emp y Alquiler
201810,553072,Act. Inmob. Emp y Alquiler
201812,553072,Act. Inmob. Emp y Alquiler
201804,553156,"Transp, Almac y Com."
201805,553156,"Transp, Almac y Com."
201803,553156,"Transp, Almac y Com."
201802,553156,"Transp, Almac y Com."
201807,553156,"Transp, Almac y Com."
201806,553156,"Transp, Almac y Com."
201808,553156,"Transp, Almac y Com."
201801,553156,"Transp, Almac y Com."
201812,553156,"Transp, Almac y Com."
201811,553156,"Transp, Almac y Com."
201801,554342,Comercio
201808,554342,Comercio
201809,554342,Comercio
201806,554342,Comercio
201807,554342,Comercio
201802,554342,Comercio
201803,554342,Comercio
201805,554342,Comercio
201804,554342,Comercio
201811,554342,Comercio
201810,554342,Comercio
201812,554342,Comercio
201804,556170,Comercio
201805,556170,Comercio
201803,556170,Comercio
201802,556170,Comercio
201807,556170,Comercio
201806,556170,Comercio
201809,556170,Comercio
201808,556170,Comercio
201801,556170,Comercio
201812,556170,Comercio
201810,556170,Comercio
201811,556170,Comercio
201801,556492,Ind. Manufacturera
201808,556492,Ind. Manufacturera
201809,556492,Ind. Manufacturera
201806,556492,Ind. Manufacturera
201807,556492,Ind. Manufacturera
201802,556492,Ind. Manufacturera
201803,556492,Ind. Manufacturera
201805,556492,Ind. Manufacturera
201804,556492,Ind. Manufacturera
201811,556492,Ind. Manufacturera
201810,556492,Ind. Manufacturera
201812,556492,Ind. Manufacturera
201804,558310,"Transp, Almac y Com."
201805,558310,"Transp, Almac y Com."
201803,558310,"Transp, Almac y Com."
201802,558310,"Transp, Almac y Com."
201807,558310,"Transp, Almac y Com."
201806,558310,"Transp, Almac y Com."
201809,558310,"Transp, Almac y Com."
201808,558310,"Transp, Almac y Com."
201801,558310,"Transp, Almac y Com."
201812,558310,"Transp, Almac y Com."
201810,558310,"Transp, Almac y Com."
201811,558310,"Transp, Almac y Com."
201801,559660,Act. Inmob. Emp y Alquiler
201808,559660,Act. Inmob. Emp y Alquiler
201809,559660,Act. Inmob. Emp y Alquiler
201806,559660,Act. Inmob. Emp y Alquiler
201807,559660,Act. Inmob. Emp y Alquiler
201802,559660,Act. Inmob. Emp y Alquiler
201803,559660,Act. Inmob. Emp y Alquiler
201805,559660,Act. Inmob. Emp y Alquiler
201804,559660,Act. Inmob. Emp y Alquiler
201811,559660,Act. Inmob. Emp y Alquiler
201810,559660,Act. Inmob. Emp y Alquiler
201812,559660,Act. Inmob. Emp y Alquiler
201803,560376,Comercio
201802,560376,Comercio
201801,560376,Comercio
201801,560392,Comercio
201802,560392,Comercio
201803,560392,Comercio
201804,560392,Comercio
201805,560392,Comercio
201807,560392,Comercio
201806,560392,Comercio
201809,560392,Comercio
201808,560392,Comercio
201812,560392,Comercio
201810,560392,Comercio
201811,560392,Comercio
201808,560842,Otros
201809,560842,Otros
201806,560842,Otros
201807,560842,Otros
201805,560842,Otros
201804,560842,Otros
201803,560842,Otros
201802,560842,"Transp, Almac y Com."
201801,560842,"Transp, Almac y Com."
201801,563064,Comercio
201802,563064,Comercio
201803,563064,Comercio
201804,563064,Comercio
201805,563064,Comercio
201807,563064,Comercio
201806,563064,Comercio
201809,563064,Comercio
201808,563064,Comercio
201811,563064,Comercio
201810,563064,Comercio
201812,563064,Comercio
201808,563762,Act. Inmob. Emp y Alquiler
201809,563762,Act. Inmob. Emp y Alquiler
201806,563762,Act. Inmob. Emp y Alquiler
201807,563762,Act. Inmob. Emp y Alquiler
201805,563762,Act. Inmob. Emp y Alquiler
201804,563762,Act. Inmob. Emp y Alquiler
201803,563762,Act. Inmob. Emp y Alquiler
201802,563762,Act. Inmob. Emp y Alquiler
201801,563762,Act. Inmob. Emp y Alquiler
201812,563762,Act. Inmob. Emp y Alquiler
201810,563762,Act. Inmob. Emp y Alquiler
201811,563762,Act. Inmob. Emp y Alquiler
201801,564384,Otros
201802,564384,Otros
201803,564384,Otros
201804,564384,Otros
201805,564384,Otros
201807,564384,Otros
201806,564384,Otros
201809,564384,Otros
201808,564384,Otros
201811,564384,Otros
201810,564384,Otros
201812,564384,Otros
201808,569948,Comercio
201809,569948,Comercio
201806,569948,Comercio
201807,569948,Comercio
201805,569948,Comercio
201804,569948,Comercio
201803,569948,Comercio
201812,569948,Comercio
201810,569948,Comercio
201811,569948,Comercio
201803,570194,Ind. Manufacturera
201802,570194,Ind. Manufacturera
201804,570194,Ind. Manufacturera
201805,570194,Ind. Manufacturera
201807,570194,Ind. Manufacturera
201806,570194,Ind. Manufacturera
201809,570194,Ind. Manufacturera
201808,570194,Ind. Manufacturera
201801,570194,Ind. Manufacturera
201811,570194,Ind. Manufacturera
201810,570194,Ind. Manufacturera
201812,570194,Ind. Manufacturera
201801,571226,Comercio
201808,571226,Comercio
201809,571226,Comercio
201806,571226,Comercio
201807,571226,Comercio
201805,571226,Comercio
201804,571226,Comercio
201802,571226,Comercio
201803,571226,Comercio
201812,571226,Comercio
201810,571226,Comercio
201811,571226,Comercio
201803,571234,Comercio
201802,571234,Comercio
201804,571234,Comercio
201805,571234,Comercio
201807,571234,Comercio
201806,571234,Comercio
201809,571234,Comercio
201808,571234,Comercio
201801,571234,Comercio
201811,571234,Comercio
201810,571234,Comercio
201812,571234,Comercio
201801,573484,0
201808,573484,0
201809,573484,0
201806,573484,0
201807,573484,0
201805,573484,0
201804,573484,0
201802,573484,0
201803,573484,0
201812,573484,0
201810,573484,0
201811,573484,0
201803,583348,Comercio
201802,583348,Comercio
201804,583348,Comercio
201805,583348,Comercio
201807,583348,Comercio
201806,583348,Comercio
201809,583348,Comercio
201808,583348,Comercio
201801,583348,Comercio
201811,583348,Comercio
201810,583348,Comercio
201812,583348,Comercio
201801,586890,Otros
201808,586890,Otros
201809,586890,Otros
201806,586890,Otros
201807,586890,Otros
201805,586890,Otros
201804,586890,Otros
201802,586890,Otros
201803,586890,Otros
201812,586890,Otros
201810,586890,Otros
201811,586890,Otros
201803,590046,Agricultura
201802,590046,Agricultura
201804,590046,Agricultura
201807,590046,Agricultura
201806,590046,Agricultura
201809,590046,Agricultura
201808,590046,Agricultura
201811,590046,Agricultura
201810,590046,Agricultura
201812,590046,Agricultura
201801,591660,Ind. Manufacturera
201808,591660,Ind. Manufacturera
201809,591660,Ind. Manufacturera
201806,591660,Ind. Manufacturera
201807,591660,Ind. Manufacturera
201804,591660,Ind. Manufacturera
201805,591660,Ind. Manufacturera
201802,591660,Ind. Manufacturera
201803,591660,Ind. Manufacturera
201812,591660,Ind. Manufacturera
201810,591660,Ind. Manufacturera
201811,591660,Ind. Manufacturera
201803,594220,Otros
201802,594220,Otros
201805,594220,Otros
201804,594220,Otros
201807,594220,Otros
201806,594220,Otros
201809,594220,Otros
201808,594220,Otros
201801,594220,Otros
201811,594220,Otros
201810,594220,Otros
201812,594220,Otros
201801,600502,Otros
201808,600502,Otros
201809,600502,Otros
201806,600502,Otros
201807,600502,Otros
201804,600502,Otros
201805,600502,Otros
201802,600502,Otros
201803,600502,Otros
201812,600502,Otros
201810,600502,Otros
201811,600502,Otros
201803,607704,Comercio
201802,607704,Comercio
201805,607704,Comercio
201804,607704,Comercio
201807,607704,Comercio
201806,607704,Comercio
201809,607704,Comercio
201808,607704,Comercio
201801,607704,Comercio
201810,607704,Comercio
201801,608422,Ind. Manufacturera
201808,608422,Ind. Manufacturera
201809,608422,Ind. Manufacturera
201806,608422,Ind. Manufacturera
201807,608422,Ind. Manufacturera
201804,608422,Ind. Manufacturera
201805,608422,Ind. Manufacturera
201802,608422,Ind. Manufacturera
201803,608422,Ind. Manufacturera
201810,608422,Ind. Manufacturera
201811,608422,Ind. Manufacturera
201812,608422,Ind. Manufacturera
201803,609404,Comercio
201802,609404,Comercio
201805,609404,Comercio
201804,609404,Comercio
201807,609404,Comercio
201806,609404,Comercio
201809,609404,Comercio
201808,609404,Comercio
201801,609404,Comercio
201812,609404,Comercio
201811,609404,Comercio
201810,609404,Comercio
201801,611924,Ind. Manufacturera
201808,611924,Ind. Manufacturera
201809,611924,Ind. Manufacturera
201806,611924,Ind. Manufacturera
201807,611924,Ind. Manufacturera
201804,611924,Ind. Manufacturera
201805,611924,Ind. Manufacturera
201802,611924,Ind. Manufacturera
201803,611924,Ind. Manufacturera
201810,611924,Ind. Manufacturera
201811,611924,Ind. Manufacturera
201812,611924,Ind. Manufacturera
201803,613592,Otros
201802,613592,Otros
201805,613592,Otros
201804,613592,Otros
201807,613592,Otros
201806,613592,Otros
201809,613592,Otros
201808,613592,Otros
201801,613592,Otros
201801,616758,Ind. Manufacturera
201808,616758,Ind. Manufacturera
201809,616758,Ind. Manufacturera
201806,616758,Ind. Manufacturera
201807,616758,Ind. Manufacturera
201804,616758,Ind. Manufacturera
201805,616758,Ind. Manufacturera
201802,616758,Ind. Manufacturera
201803,616758,Ind. Manufacturera
201812,616758,Ind. Manufacturera
201811,616758,Ind. Manufacturera
201810,616758,Ind. Manufacturera
201803,628806,Otros
201805,628806,Otros
201804,628806,Otros
201807,628806,Otros
201806,628806,Otros
201809,628806,Otros
201808,628806,Otros
201810,628806,Otros
201811,628806,Otros
201812,628806,Otros
201808,630396,Comercio
201809,630396,Comercio
201806,630396,Comercio
201807,630396,Comercio
201804,630396,Comercio
201805,630396,Comercio
201803,630396,Comercio
201802,630396,Comercio
201801,630396,Comercio
201812,630396,Comercio
201811,630396,Comercio
201810,630396,Comercio
201801,631968,Act. Inmob. Emp y Alquiler
201802,631968,Act. Inmob. Emp y Alquiler
201803,631968,Act. Inmob. Emp y Alquiler
201805,631968,Act. Inmob. Emp y Alquiler
201804,631968,Act. Inmob. Emp y Alquiler
201807,631968,Act. Inmob. Emp y Alquiler
201806,631968,Act. Inmob. Emp y Alquiler
201809,631968,Act. Inmob. Emp y Alquiler
201808,631968,Act. Inmob. Emp y Alquiler
201810,631968,Act. Inmob. Emp y Alquiler
201811,631968,Act. Inmob. Emp y Alquiler
201812,631968,Act. Inmob. Emp y Alquiler
201801,637518,"Transp, Almac y Com."
201808,637518,"Transp, Almac y Com."
201809,637518,"Transp, Almac y Com."
201806,637518,"Transp, Almac y Com."
201807,637518,"Transp, Almac y Com."
201804,637518,"Transp, Almac y Com."
201805,637518,"Transp, Almac y Com."
201803,637518,"Transp, Almac y Com."
201802,637518,"Transp, Almac y Com."
201812,637518,"Transp, Almac y Com."
201811,637518,"Transp, Almac y Com."
201810,637518,"Transp, Almac y Com."
201802,640196,Ind. Manufacturera
201803,640196,Ind. Manufacturera
201805,640196,Ind. Manufacturera
201804,640196,Ind. Manufacturera
201807,640196,Ind. Manufacturera
201806,640196,Ind. Manufacturera
201809,640196,Ind. Manufacturera
201808,640196,Ind. Manufacturera
201801,640196,Ind. Manufacturera
201810,640196,Ind. Manufacturera
201811,640196,Ind. Manufacturera
201812,640196,Ind. Manufacturera
201801,640804,Comercio
201808,640804,Comercio
201809,640804,Comercio
201806,640804,Comercio
201807,640804,Comercio
201804,640804,Comercio
201805,640804,Comercio
201803,640804,Comercio
201802,640804,Comercio
201812,640804,Comercio
201811,640804,Comercio
201810,640804,Comercio
201801,644824,Comercio
201802,644824,Comercio
201803,644824,Comercio
201805,644824,Comercio
201804,644824,Comercio
201807,644824,Comercio
201806,644824,Comercio
201809,644824,Comercio
201808,644824,Comercio
201810,644824,Comercio
201811,644824,Comercio
201812,644824,Comercio
201808,645216,Ind. Manufacturera
201809,645216,Ind. Manufacturera
201806,645216,Ind. Manufacturera
201807,645216,Ind. Manufacturera
201804,645216,Ind. Manufacturera
201805,645216,Ind. Manufacturera
201803,645216,Ind. Manufacturera
201802,645216,Ind. Manufacturera
201810,645216,Ind. Manufacturera
201801,645240,Act. Inmob. Emp y Alquiler
201802,645240,Act. Inmob. Emp y Alquiler
201803,645240,Act. Inmob. Emp y Alquiler
201805,645240,Act. Inmob. Emp y Alquiler
201804,645240,Act. Inmob. Emp y Alquiler
201807,645240,Act. Inmob. Emp y Alquiler
201806,645240,Act. Inmob. Emp y Alquiler
201809,645240,Act. Inmob. Emp y Alquiler
201808,645240,Act. Inmob. Emp y Alquiler
201810,645240,Act. Inmob. Emp y Alquiler
201811,645240,Act. Inmob. Emp y Alquiler
201812,645240,Act. Inmob. Emp y Alquiler
201806,650160,Comercio
201804,650160,Comercio
201805,650160,Comercio
201805,656526,Comercio
201804,656526,Comercio
201803,656526,Comercio
201802,656526,Comercio
201806,656526,Comercio
201807,656526,Comercio
201808,656526,Comercio
201809,656526,Comercio
201801,656526,Comercio
201812,656526,Comercio
201811,656526,Comercio
201810,656526,Comercio
201801,659568,Comercio
201809,659568,Comercio
201808,659568,Comercio
201807,659568,Comercio
201806,659568,Comercio
201802,659568,Comercio
201803,659568,Comercio
201804,659568,Comercio
201805,659568,Comercio
201810,659568,Comercio
201811,659568,Comercio
201812,659568,Comercio
201805,660086,Ind. Manufacturera
201804,660086,Ind. Manufacturera
201803,660086,Ind. Manufacturera
201806,660086,Ind. Manufacturera
201807,660086,Ind. Manufacturera
201808,660086,Ind. Manufacturera
201809,660086,Ind. Manufacturera
201812,660086,Ind. Manufacturera
201811,660086,Ind. Manufacturera
201810,660086,Ind. Manufacturera
201809,663374,Comercio
201808,663374,Comercio
201807,663374,Comercio
201806,663374,Comercio
201803,663374,Comercio
201802,663374,Comercio
201804,663374,Comercio
201805,663374,Comercio
201801,663374,Comercio
201810,663374,Comercio
201811,663374,Comercio
201812,663374,Comercio
201801,665150,Comercio
201805,665150,Comercio
201804,665150,Comercio
201802,665150,Comercio
201803,665150,Comercio
201806,665150,Comercio
201807,665150,Comercio
201808,665150,Comercio
201809,665150,Comercio
201812,665150,Comercio
201811,665150,Comercio
201810,665150,Comercio
201809,667536,Comercio
201808,667536,Comercio
201807,667536,Comercio
201806,667536,Comercio
201803,667536,Comercio
201802,667536,Comercio
201804,667536,Comercio
201805,667536,Comercio
201801,667536,Comercio
201810,667536,Comercio
201811,667536,Comercio
201812,667536,Comercio
201801,674452,Comercio
201805,674452,Comercio
201804,674452,Comercio
201802,674452,Comercio
201803,674452,Comercio
201806,674452,Comercio
201807,674452,Comercio
201808,674452,Comercio
201809,674452,Comercio
201812,674452,Comercio
201811,674452,Comercio
201810,674452,Comercio
201809,675578,Comercio
201808,675578,Comercio
201807,675578,Comercio
201806,675578,Comercio
201803,675578,Comercio
201802,675578,Comercio
201804,675578,Comercio
201805,675578,Comercio
201801,675578,Comercio
201810,675578,Comercio
201811,675578,Comercio
201812,675578,Comercio
201801,676588,Act. Inmob. Emp y Alquiler
201805,676588,Act. Inmob. Emp y Alquiler
201804,676588,Act. Inmob. Emp y Alquiler
201802,676588,Act. Inmob. Emp y Alquiler
201803,676588,Act. Inmob. Emp y Alquiler
201806,676588,Act. Inmob. Emp y Alquiler
201807,676588,Act. Inmob. Emp y Alquiler
201808,676588,Act. Inmob. Emp y Alquiler
201809,676588,Act. Inmob. Emp y Alquiler
201812,676588,Act. Inmob. Emp y Alquiler
201811,676588,Act. Inmob. Emp y Alquiler
201810,676588,Act. Inmob. Emp y Alquiler
201809,677230,"Transp, Almac y Com."
201808,677230,"Transp, Almac y Com."
201810,677230,"Transp, Almac y Com."
201811,677230,"Transp, Almac y Com."
201812,677230,"Transp, Almac y Com."
201808,677500,Otros
201809,677500,Otros
201807,677500,Otros
201806,677500,Otros
201803,677500,Otros
201802,677500,Otros
201804,677500,Otros
201805,677500,Otros
201801,677500,Otros
201812,677500,Otros
201811,677500,Otros
201810,677500,Otros
201805,678410,Minería
201804,678410,Minería
201806,678410,Minería
201807,678410,Minería
